NAME,TIME,DISTANCE
TUN,2018,1627264.1837345
ARE,2018,5158218.87107916
TKM,2018,4427307.01619166
ZMB,2018,7701673.19102321
ZWE,2018,8040798.32799701
TLS,2018,12907658.5786806
VUT,2018,16068688.2330773
HND,2018,8913351.88547528
GUY,2018,7513055.23487352
ISL,2018,2134020.25935711
HTI,2018,7500842.21914513
UGA,2018,6201034.88993771
SUR,2018,7398864.27716641
NER,2018,4143527.56276958
TJK,2018,5112867.04172797
PRY,2018,10386742.5377131
NIC,2018,9012855.84149194
SLE,2018,4967961.86979296
PAK,2018,5755330.58123904
NPL,2018,7059572.74069664
ZAF,2018,9114845.2387923
ZAF,2018,8797889.8750031
PNG,2018,14304696.6563222
SLB,2018,14902450.4130928
PAN,2018,8810654.83964328
MAR,2018,2075746.45888378
MDA,2018,1838029.15159367
MOZ,2018,8948038.95437669
SOM,2018,6631362.44572051
OMN,2018,5504893.97984964
LKA,2018,8397920.78878694
MNG,2018,6814871.80067105
NAM,2018,8226771.64152894
NGA,2018,4641579.21651696
GNB,2018,4686336.63414894
JOR,2018,3330485.75517887
KGZ,2018,5224007.34849487
LSO,2018,9165863.47394746
MDG,2018,8803579.29249413
ECU,2018,9522853.954921
CRI,2018,9048605.72623559
SLV,2018,9085482.97256219
JAM,2018,7859037.45880905
TCD,2018,4403194.32082641
GNQ,2018,5235732.32180448
ERI,2018,5006793.25414638
MWI,2018,7731102.32421225
GTM,2018,9097448.37215555
GAB,2018,5612135.11468035
FJI,2018,16338868.742302
MRT,2018,4054181.72141903
MLI,2018,4379998.1769232
LBN,2018,3146962.71004505
GEO,2018,3231990.6387812
KAZ,2018,4539600.4606253
LAO,2018,9042973.55042227
COG,2018,6193798.82874145
GIN,2018,4868779.99343206
CIV,2018,4960438.73317832
CAN,2018,5690557.45715581
SRB,2018,1376614.87893859
BRN,2018,11009540.4917779
BOL,2018,10277319.3424962
BLZ,2018,8753220.48246454
CAF,2018,5319679.76090142
CMR,2018,5249245.18823124
ALB,2018,1591669.05099106
ARM,2018,3306842.51614599
AZE,2018,3669739.31320715
KHM,2018,9752045.27698672
BOL,2018,10235782.4280281
BEN,2018,4933397.61281998
BLR,2018,1611055.69159271
BTN,2018,7375321.55570505
BWA,2018,8625944.75008527
AUS,2018,16714129.139192
BFA,2018,4298603.87899921
BIH,2018,1311963.81681785
MMR,2018,8451208.92041675
TON,2018,16708354.6168775
SOM,2018,5840433.06908975
SYC,2018,7834533.66098228
STP,2018,5601041.90677498
WSM,2018,15885391.182995
MDV,2018,8196133.6626235
ISR,2018,3299618.94558762
CPV,2018,4702151.17170244
BHS,2018,7318463.91576034
NZL,2018,18718433.1494219
VNM,2018,8994270.28242011
TUR,2018,2519559.5878406
YEM,2018,5304284.46168348
SYR,2018,3227431.479877
SDN,2018,4652241.7950681
NOR,2018,1088776.24327453
PRK,2018,8535960.75035763
TZA,2018,7211891.80678046
LBR,2018,5131537.13762644
MYS,2018,10256037.5638773
CUB,2018,7823081.29996835
KWT,2018,4328048.14844455
DOM,2018,7337187.3227442
GHA,2018,5037692.01800207
LBY,2018,2120354.04408503
CIV,2018,5104826.82280221
BRA,2018,8957315.01005131
BGD,2018,7731868.61490007
AGO,2018,6666629.08005391
DZA,2018,1566666.2330281
